"company name","Name of owner","Street","City","Zipcode","District","Tel.","homepage","Email","page_url"
"Oehler Andreas Dipl.-Ing. Sachverständigen- und Ingenieurbüro für Kfz  ","","Otto-Brenner-Str. 11","Bochum","44866","Wattenscheid","(0 23 27) 90 32 32","http://www.ib-oehler.de","unfall@ib-oehler.de","https://www.dasoertliche.de/?id=0746903657578393278902&recuid=7ZPCLNESLQIZWNUSWRDOWSMA5PPD5QDW6TYLI3X6LKCET7XTAI&action=58&pagePos=1&dar=2&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=Bochum-Wattenscheid&recFrom=1&hitno=0&backbuab=23270000&zvo_ok=0&orderby=name&ttforderby=rel&buc=746&verlNr=121&page=78&context=11"
"Rick Herbert Dr. Ingenieurbüro  ","","Reiterweg 8","Bochum","44869","","(0 23 27) 7 07 22","","","https://www.dasoertliche.de/?id=0746004992262329318203&recuid=7ZUDZLQUFA5JOC4V5ZOJW5FT5PFBH2KK377YA2NJGP24IAQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=Bochum-Wattenscheid&recFrom=1&hitno=11&backbuab=23270000&zvo_ok=0&orderby=name&ttforderby=rel&buc=746&verlNr=121&page=78&context=11"
"Walther Dipl.-Ing. Ingenieurbüro  ","","Holzstr. 51","Bochum","44869","","","www.walther-ingenieurbuero.de","","https://www.dasoertliche.de/?id=0746005006742329318203&recuid=SXP6FNQBKKEPJM7BJEDCWHYEQAFVAQI5OWNWGSRRNBAK6AQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=Bochum-Wattenscheid&recFrom=1&hitno=21&backbuab=23270000&zvo_ok=0&orderby=name&ttforderby=rel&buc=746&verlNr=121&page=78&context=11"
"Tomczak Michael Ingenieurbüro für Umwelt- u. Verfahrenstechnik  ","","Hansastr. 42","Bochum","44866","","(0 23 27) 8 28 54","www.umweltingenieur-tomczak.de","","https://www.dasoertliche.de/?id=0746000206781329318203&recuid=VAPYFX4DQZF4O4WLUI75AIGEXWMWJHI4VCU7OOH6I2CZEAQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=Bochum-Wattenscheid&recFrom=1&hitno=20&backbuab=23270000&zvo_ok=0&orderby=name&ttforderby=rel&buc=746&verlNr=121&page=78&context=11"
"Silberkuhl Peter Dipl.-Ing. u. Friedrich Dipl.-Ing. Bauingenieure ","","Grenzstr. 87","Bochum","44869","","(0 23 27) 7 60 55","","","https://www.dasoertliche.de/?id=0746009350256329318203&recuid=HEHTZVLSKVOFAY2376M7FNOUFT4K7DMNXA4IHHPOTCXQGAQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=Bochum-Wattenscheid&recFrom=1&hitno=19&backbuab=23270000&zvo_ok=0&orderby=name&ttforderby=rel&buc=746&verlNr=121&page=78&context=11"
"Silberkuhl Ing.-Büro  ","","Grenzstr. 87","Bochum","44869","","(0 23 27) 97 24 80","","","https://www.dasoertliche.de/?id=0746009347211360105461&recuid=M3LZPDWJRGCA7OYELTXSV2QMONL3W5POPVUED2S4RFUFYAQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=Bochum-Wattenscheid&recFrom=1&hitno=18&backbuab=23270000&zvo_ok=0&orderby=name&ttforderby=rel&buc=746&verlNr=121&page=78&context=11"
"Schweihs Hermann W. Ing.Büro  ","","In der Mark 99","Bochum","44869","","(0 23 27) 7 31 72","","","https://www.dasoertliche.de/?id=0746008314380383347730&recuid=THENLCX5TON7VIHOIQOXMFITRR6BSSRNP6MEIRLAMAPC42EUAI&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=Bochum-Wattenscheid&recFrom=1&hitno=17&backbuab=23270000&zvo_ok=0&orderby=name&ttforderby=rel&buc=746&verlNr=121&page=78&context=11"
"Schulte Gabriele u. Ludger Vermessungsingenieur ","","Zollstr. 161","Bochum","44867","","(0 23 27) 7 55 11","","","https://www.dasoertliche.de/?id=0746004950601392242299&recuid=WHXJEHUICG65FBWEE5WR4OZVUQ4SG3AFLGYCOZJYPV2IWAQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=Bochum-Wattenscheid&recFrom=1&hitno=16&backbuab=23270000&zvo_ok=0&orderby=name&ttforderby=rel&buc=746&verlNr=121&page=78&context=11"
"Schild Bernd Dipl.-Ing. Ingenieur für Bauwesen  ","","Heidestr. 83","Bochum","44866","","(0 23 27) 1 56 82","","","https://www.dasoertliche.de/?id=0746004943784383347730&recuid=ED3BDDOFH6SUHHSJL2DQNKRNGVKJ6CETIEQRFCJFS5URUAQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=Bochum-Wattenscheid&recFrom=1&hitno=14&backbuab=23270000&zvo_ok=0&orderby=name&ttforderby=rel&buc=746&verlNr=121&page=78&context=11"
"Rumpf Helmut Ingenieurbüro für Baustatik  ","","Eibenweg 15","Bochum","44869","","(0 23 27) 7 13 30","","","https://www.dasoertliche.de/?id=0746000177961329318203&recuid=PGQOOUJETPZAZTIJBHHW34L3NQRIWIONC54BBSIFS45EGAQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=Bochum-Wattenscheid&recFrom=1&hitno=13&backbuab=23270000&zvo_ok=0&orderby=name&ttforderby=rel&buc=746&verlNr=121&page=78&context=11"
"Schomann Adrian Elektroingenieur  ","","Ruhrstr. 121","Bochum","44869","","(0 23 27) 7 39 86","","","https://www.dasoertliche.de/?id=0746000283852329318203&recuid=I6JW2ZVNE7ACJ6ZIL63EBT2IKJY4CEPTERDGXQZHVEEX2AQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=Bochum-Wattenscheid&recFrom=1&hitno=15&backbuab=23270000&zvo_ok=0&orderby=name&ttforderby=rel&buc=746&verlNr=121&page=78&context=11"
"Romahn Robert Hochbauingenieur  ","","Am Luftschacht 4","Bochum","44869","","(0 23 27) 7 10 63","","","https://www.dasoertliche.de/?id=0746010230827329318203&recuid=YJLRG7W42AC22OVD7RBOIT4M26QC3VTW4DB7CXVXICK7QAQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=Bochum-Wattenscheid&recFrom=1&hitno=12&backbuab=23270000&zvo_ok=0&orderby=name&ttforderby=rel&buc=746&verlNr=121&page=78&context=11"
"Niggemann Dietrich Bau- u. SicherheitsIng.  ","","Aschenbruch 60","Bochum","44866","","(0 23 27) 2 04 42","","","https://www.dasoertliche.de/?id=0746009664090329318203&recuid=DMODRRMC4RJHE634Y2XYZFWHB2TP7YVIVMNLRV4OW3OSCAQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=Bochum-Wattenscheid&recFrom=1&hitno=10&backbuab=23270000&zvo_ok=0&orderby=name&ttforderby=rel&buc=746&verlNr=121&page=78&context=11"
"MD engineering GmbH  ","","Josef-Haumann-Str. 11","Bochum","44866","Wattenscheid","(0 23 27) 9 91 47-0","www.md-engineering.de","","https://www.dasoertliche.de/?id=0746010104938329318203&recuid=PD2CIJB4AK4TZVA5D3IF75JPNVNISV7QLZ3HPEKTSM2UEAQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=Bochum-Wattenscheid&recFrom=1&hitno=9&backbuab=23270000&zvo_ok=0&orderby=name&ttforderby=rel&buc=746&verlNr=121&page=78&context=11"
"IPD Ingenieur Projekte Dworak Ingenieurbüro  ","","Feldstr. 4","Bochum","44867","","(0 23 27) 83 50 59","www.ingenieur-projekte.com","","https://www.dasoertliche.de/?id=0746007216546383347730&recuid=2D6MJMOKJ62YBOHQLZJQOWZHYVHXWZSYK3PBGQYXPI6OUAQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=Bochum-Wattenscheid&recFrom=1&hitno=7&backbuab=23270000&zvo_ok=0&orderby=name&ttforderby=rel&buc=746&verlNr=121&page=78&context=11"
"Kordt Heinz Elektroingenieur  ","","Am Luftschacht 27","Bochum","44869","","(0 23 27) 7 05 90","","","https://www.dasoertliche.de/?id=0746000089895329318203&recuid=QUMXLQA5B5JOU27BXYB5CDOCSCDWTGBRV2CJKE5YNOB36AQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=Bochum-Wattenscheid&recFrom=1&hitno=8&backbuab=23270000&zvo_ok=0&orderby=name&ttforderby=rel&buc=746&verlNr=121&page=78&context=11"
