"company name","Name of owner","Address","Tel.","homepage","Email","page_url"
"Ingenieurbüro Schmitt  ","","Gartenstr. 53-55 		40479 Düsseldorf - Pempelfort","(02 11) 98 94 48-0","http://www.ibschmitt.de","info@ibschmitt.de","https://www.dasoertliche.de/?id=0184088670477392846134&recuid=7RFA6LZDTEBZELMZY4POEGHH7GNC7TCZ4PZN4PWHPTRTH2H7AI&action=58&pagePos=1&dar=5&kw=Ingenieurb%c3%bcro+f%c3%bcr+Statik&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=1&hitno=0&kgs=05111000&zvo_ok=0&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Görz Marcel Ingenieurbüro für Baustatik  ","","Derendorfer Str. 93 		40479 Düsseldorf - Pempelfort","","www.statik-goerz.de","","https://www.dasoertliche.de/?id=0184058223373389395069&recuid=22NQLXI52DOCB2NMCZQH2AZW2OVGQ3YOAF3KCAQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro+f%c3%bcr+Statik&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=1&hitno=11&kgs=05111000&zvo_ok=0&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Ostrick Ingenieur Planungs GmbH  ","","Kopernikusstr. 28 		40223 Düsseldorf - Bilk","(02 11) 33 44 64","http://oip-tga.de","","https://www.dasoertliche.de/?id=0184080279950392938153&recuid=6DRFX6Z5POWYHFUCNQRUUECP6URE4B2ZKXYV42T6LRHBMQHTAI&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro+f%c3%bcr+Statik&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=1&hitno=19&kgs=05111000&zvo_ok=0&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"OSTRICK INGENIEUR  ","","40223 Düsseldorf","(02 11) 33 44 63","http://oip-tga.de","","https://www.dasoertliche.de/?id=0184083246470392938153&recuid=4H3BAN6XSS43FIVTOA5CWAC34REV6E2IIHQB6TKWOA2NWAQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro+f%c3%bcr+Statik&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=1&hitno=18&kgs=05111000&zvo_ok=0&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"KUNKEL + Partner KG  ","","Tußmannstr. 61 		40477 Düsseldorf - Pempelfort","","http://www.kunkel-partner.de","","https://www.dasoertliche.de/?id=0184087740475392938153&recuid=HKAB3B5ADXFW7TTRHO5HBWJNH6Y5ICPFD6Q3UAQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro+f%c3%bcr+Statik&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=1&hitno=17&kgs=05111000&zvo_ok=0&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"KUNKEL + Partner GmbH & Co.KG  ","","Tussmanstr. 61 		40477 Düsseldorf","(02 11) 94 88-0","http://www.kunkel-partner.de","","https://www.dasoertliche.de/?id=0184087740479392938153&recuid=FQ5IHJKCBFYXS5DHQWWMVT4XFG5N754GFD4KRXETQDOI4OIC&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro+f%c3%bcr+Statik&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=1&hitno=16&kgs=05111000&zvo_ok=0&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Kuhlmann Ingenieurbüro für Baustatik  ","","Fröhlenstr. 6 		40599 Düsseldorf - Hassels","(02 11) 71 32 20","","","https://www.dasoertliche.de/?id=0184032978523389741381&recuid=I2JCEVCVDLMTH6RKJGFHHDZ7INLIW3XPEVDSRXZO3IEXYAQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro+f%c3%bcr+Statik&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=1&hitno=15&kgs=05111000&zvo_ok=0&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Ingenieurbüro Grassl GmbH  ","","Adlerstr. 34-40 		40211 Düsseldorf - Pempelfort","(02 11) 1 75 97-0","http://www.grassl-ing.de","","https://www.dasoertliche.de/?id=0184077690057392938153&recuid=UCWC6XBSFXS45S6FMVUSM7YBUUHEQ5YJDOQXQLI3HAIJUAQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro+f%c3%bcr+Statik&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=1&hitno=14&kgs=05111000&zvo_ok=0&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Grube Friedrich A. L.  ","","Hansaallee 321 		40549 Düsseldorf - Heerdt","(02 11) 53 67 44 66","","","https://www.dasoertliche.de/?id=0184088299013392938153&recuid=WRIZZWK7TQLMMJGW2Q4MGUH4WGZQ3JTIZU5VA5WMIOGHM2YC&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro+f%c3%bcr+Statik&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=1&hitno=13&kgs=05111000&zvo_ok=0&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Feuerstack Oliver Büro für Baustatik  ","","Am Gieb 35 		40629 Düsseldorf - Hubbelrath","(02 11) 29 69 66","www.feuerstack-beyen.de","","https://www.dasoertliche.de/?id=0184032979739353715988&recuid=5UYQFS46WV3YQREIVI55AJE45D3XJUSEQ3WL67VUP2VNOAQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro+f%c3%bcr+Statik&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=1&hitno=10&kgs=05111000&zvo_ok=0&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
